"ontology1","ontology2","metric","value","matcher"
"confOf","sigkdd","fmeasure","0.4","LogMap"
"cmt","ekaw","fmeasure","0.1","LogMap"
"confOf","ekaw","fmeasure","0.4912280701754387","LogMap"
"iasted","sigkdd","fmeasure","0.19718309859154928","LogMap"
"cmt","confOf","fmeasure","0.10869565217391304","LogMap"
"confOf","iasted","fmeasure","0.2580645161290322","LogMap"
"confOf","edas","fmeasure","0.625","LogMap"
"cmt","iasted","fmeasure","0.07619047619047618","LogMap"
"edas","iasted","fmeasure","0.19178082191780824","LogMap"
"edas","sigkdd","fmeasure","0.15999999999999998","LogMap"
"edas","ekaw","fmeasure","0.2580645161290323","LogMap"
"ekaw","iasted","fmeasure","0.09032258064516129","LogMap"
"cmt","sigkdd","fmeasure","0.2037037037037037","LogMap"
"cmt","edas","fmeasure","0.16326530612244897","LogMap"
"ekaw","sigkdd","fmeasure","0.09589041095890412","LogMap"
