"ontology1","ontology2","metric","value","matcher"
"ekaw","iasted","precision","0.04827586206896552","LogMap"
"cmt","iasted","precision","0.039603960396039604","LogMap"
"cmt","ekaw","precision","0.05504587155963303","LogMap"
"edas","sigkdd","precision","0.08888888888888889","LogMap"
"cmt","edas","precision","0.09411764705882353","LogMap"
"confOf","iasted","precision","0.18181818181818182","LogMap"
"confOf","sigkdd","precision","0.2777777777777778","LogMap"
"confOf","edas","precision","0.7692307692307693","LogMap"
"iasted","sigkdd","precision","0.11023622047244094","LogMap"
"edas","ekaw","precision","0.17142857142857143","LogMap"
"cmt","confOf","precision","0.06578947368421052","LogMap"
"edas","iasted","precision","0.12962962962962962","LogMap"
"cmt","sigkdd","precision","0.11458333333333333","LogMap"
"confOf","ekaw","precision","0.3783783783783784","LogMap"
"ekaw","sigkdd","precision","0.05185185185185185","LogMap"
