"ontology1","ontology2","metric","value","matcher"
"edas","sigkdd","recall","0.8","LogMap"
"confOf","iasted","recall","0.4444444444444444","LogMap"
"edas","iasted","recall","0.3684210526315789","LogMap"
"ekaw","sigkdd","recall","0.6363636363636364","LogMap"
"ekaw","iasted","recall","0.7","LogMap"
"cmt","sigkdd","recall","0.9166666666666666","LogMap"
"edas","ekaw","recall","0.5217391304347826","LogMap"
"cmt","confOf","recall","0.3125","LogMap"
"iasted","sigkdd","recall","0.9333333333333333","LogMap"
"cmt","ekaw","recall","0.5454545454545454","LogMap"
"confOf","sigkdd","recall","0.7142857142857143","LogMap"
"confOf","edas","recall","0.5263157894736842","LogMap"
"cmt","edas","recall","0.6153846153846154","LogMap"
"confOf","ekaw","recall","0.7","LogMap"
"cmt","iasted","recall","1","LogMap"
