"ontology1","ontology2","metric","value","matcher"
"ekaw","iasted","recall","0.7","AML"
"cmt","confOf","recall","0.4375","AML-WC-24"
"confOf","sigkdd","recall","0.8571428571428571","COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_LOWMEM"
"confOf","iasted","recall","0.5555555555555556","AML"
"iasted","sigkdd","recall","0.9333333333333333","LogMap"
"edas","sigkdd","recall","0.8","COMA"
"cmt","ekaw","recall","0.6363636363636364","AML-SC-36"
"cmt","sigkdd","recall","0.9166666666666666","AML-SC-15"
"cmt","iasted","recall","1","AML-SC-63"
"edas","ekaw","recall","0.6086956521739131","COMA"
"cmt","edas","recall","0.7692307692307693","AML-SC-5"
"confOf","edas","recall","0.631578947368421","COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA"
"confOf","ekaw","recall","0.8","COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA"
"ekaw","sigkdd","recall","0.8181818181818182","COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_IFUICE"
"edas","iasted","recall","0.42105263157894735","AML"
