ontology1,ontology2,metric,value,matcher
source-segment-cmt-confOf,target-segment-cmt-confOf,fmeasure,0.08823529411764705,LogMap
source-segment-conference-sigkdd,target-segment-conference-sigkdd,fmeasure,0.06837606837606838,LogMap
source-segment-conference-ekaw,target-segment-conference-ekaw,fmeasure,0.05405405405405406,LogMap
source-segment-conference-edas,target-segment-conference-edas,fmeasure,0.09523809523809522,LogMap
source-segment-edas-sigkdd,target-segment-edas-sigkdd,fmeasure,0.08633093525179857,LogMap
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,fmeasure,0.01652892561983471,LogMap
source-segment-conference-confOf,target-segment-conference-confOf,fmeasure,0.06315789473684211,LogMap
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,fmeasure,0.04347826086956522,LogMap
source-segment-confOf-edas,target-segment-confOf-edas,fmeasure,0.03305785123966942,LogMap
source-segment-cmt-edas,target-segment-cmt-edas,fmeasure,0.1917808219178082,LogMap
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,fmeasure,0.08450704225352113,LogMap
source-segment-cmt-ekaw,target-segment-cmt-ekaw,fmeasure,0.12658227848101267,LogMap
source-segment-cmt-iasted,target-segment-cmt-iasted,fmeasure,0.09756097560975609,LogMap
source-segment-confOf-ekaw,target-segment-confOf-ekaw,fmeasure,0,LogMap
source-segment-cmt-conference,target-segment-cmt-conference,fmeasure,0.13114754098360654,LogMap
source-segment-edas-ekaw,target-segment-edas-ekaw,fmeasure,0.08823529411764705,LogMap
source-segment-ekaw-iasted,target-segment-ekaw-iasted,fmeasure,0.05797101449275362,LogMap
source-segment-edas-iasted,target-segment-edas-iasted,fmeasure,0.05839416058394161,LogMap
source-segment-conference-iasted,target-segment-conference-iasted,fmeasure,0.036036036036036036,LogMap
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,fmeasure,0.15053763440860218,LogMap
