"ontology1","ontology2","metric","value","matcher"
"source-segment-edas-iasted","target-segment-edas-iasted","precision","0.8","AML"
"source-segment-confOf-sigkdd","target-segment-confOf-sigkdd","precision","1","COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS"
"source-segment-cmt-sigkdd","target-segment-cmt-sigkdd","precision","1","AML"
"source-segment-conference-iasted","target-segment-conference-iasted","precision","1","COMA-RES2_SIBLINGS-SIM_STR_EQUAL"
"source-segment-edas-ekaw","target-segment-edas-ekaw","precision","0.7142857142857143","AML"
"source-segment-confOf-edas","target-segment-confOf-edas","precision","0.6666666666666666","COMA-RES2_SELFPATH-SIM_STR_JACCARD"
"source-segment-conference-edas","target-segment-conference-edas","precision","0.8333333333333334","AML"
"source-segment-cmt-iasted","target-segment-cmt-iasted","precision","0.8","AML-SC-21"
"source-segment-conference-ekaw","target-segment-conference-ekaw","precision","0.5","COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS"
"source-segment-ekaw-sigkdd","target-segment-ekaw-sigkdd","precision","1","AML"
"source-segment-confOf-ekaw","target-segment-confOf-ekaw","precision","0.3333333333333333","COMA-RES2_SIBLINGS-SIM_STR_EDITDIST"
"source-segment-ekaw-iasted","target-segment-ekaw-iasted","precision","1","AML"
"source-segment-conference-sigkdd","target-segment-conference-sigkdd","precision","1","AML"
"source-segment-cmt-edas","target-segment-cmt-edas","precision","0.875","COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS"
"source-segment-conference-confOf","target-segment-conference-confOf","precision","0.75","COMA-RES2_SELFNODE-SIM_STR_EQUAL"
"source-segment-cmt-conference","target-segment-cmt-conference","precision","0.7142857142857143","AML-WC-29"
"source-segment-cmt-ekaw","target-segment-cmt-ekaw","precision","1","AML-SC-43"
"source-segment-cmt-confOf","target-segment-cmt-confOf","precision","0.6","AML-WC-32"
"source-segment-edas-sigkdd","target-segment-edas-sigkdd","precision","1","AML"
"source-segment-iasted-sigkdd","target-segment-iasted-sigkdd","precision","0.3333333333333333","COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS"
