ontology1,ontology2,metric,value,matcher
source-segment-conference-edas,target-segment-conference-edas,fmeasure,0.6153846153846154,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED
source-segment-edas-ekaw,target-segment-edas-ekaw,fmeasure,0.5,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED
source-segment-confOf-edas,target-segment-confOf-edas,fmeasure,0.4444444444444444,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED
source-segment-ekaw-iasted,target-segment-ekaw-iasted,fmeasure,0.75,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,fmeasure,0.3333333333333333,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED
source-segment-cmt-conference,target-segment-cmt-conference,fmeasure,0.5,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED
source-segment-conference-ekaw,target-segment-conference-ekaw,fmeasure,0.3333333333333333,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED
source-segment-cmt-edas,target-segment-cmt-edas,fmeasure,0.875,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED
source-segment-conference-confOf,target-segment-conference-confOf,fmeasure,0.75,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,fmeasure,0.8571428571428571,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED
source-segment-cmt-confOf,target-segment-cmt-confOf,fmeasure,0.33333333333333326,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED
source-segment-conference-sigkdd,target-segment-conference-sigkdd,fmeasure,0.6153846153846153,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA
source-segment-conference-iasted,target-segment-conference-iasted,fmeasure,0.5,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED
source-segment-cmt-ekaw,target-segment-cmt-ekaw,fmeasure,0.7142857142857143,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED
source-segment-edas-iasted,target-segment-edas-iasted,fmeasure,0.7272727272727272,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED
source-segment-edas-sigkdd,target-segment-edas-sigkdd,fmeasure,0.923076923076923,COMA-RES2_SELFPATH-SIM_STR_JACCARD
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,fmeasure,0.4,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,fmeasure,0.7692307692307692,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED
source-segment-confOf-ekaw,target-segment-confOf-ekaw,fmeasure,0.25,COMA-RES2_SIBLINGS-SIM_STR_LEVENSHTEIN_LUCENE
source-segment-cmt-iasted,target-segment-cmt-iasted,fmeasure,0.8,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED
