ontology1,ontology2,metric,value,matcher
source-segment-edas-iasted,target-segment-edas-iasted,fmeasure,0.8000000000000002,RECOMENDADO
source-segment-cmt-conference,target-segment-cmt-conference,fmeasure,0.588235294117647,RECOMENDADO
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,fmeasure,1,RECOMENDADO
source-segment-cmt-confOf,target-segment-cmt-confOf,fmeasure,0.37499999999999994,RECOMENDADO
source-segment-conference-iasted,target-segment-conference-iasted,fmeasure,0.5714285714285715,RECOMENDADO
source-segment-conference-edas,target-segment-conference-edas,fmeasure,0.7142857142857143,RECOMENDADO
source-segment-cmt-edas,target-segment-cmt-edas,fmeasure,0.875,RECOMENDADO
source-segment-confOf-edas,target-segment-confOf-edas,fmeasure,0.4444444444444444,RECOMENDADO
source-segment-ekaw-iasted,target-segment-ekaw-iasted,fmeasure,0.8571428571428571,RECOMENDADO
source-segment-conference-confOf,target-segment-conference-confOf,fmeasure,0.75,RECOMENDADO
source-segment-edas-sigkdd,target-segment-edas-sigkdd,fmeasure,1,RECOMENDADO
source-segment-cmt-ekaw,target-segment-cmt-ekaw,fmeasure,0.923076923076923,RECOMENDADO
source-segment-conference-ekaw,target-segment-conference-ekaw,fmeasure,0.42857142857142855,RECOMENDADO
source-segment-conference-sigkdd,target-segment-conference-sigkdd,fmeasure,0.8,RECOMENDADO
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,fmeasure,0.8333333333333333,RECOMENDADO
source-segment-edas-ekaw,target-segment-edas-ekaw,fmeasure,0.588235294117647,RECOMENDADO
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,fmeasure,0.4,RECOMENDADO
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,fmeasure,0.3333333333333333,RECOMENDADO
source-segment-confOf-ekaw,target-segment-confOf-ekaw,fmeasure,0.25,RECOMENDADO
source-segment-cmt-iasted,target-segment-cmt-iasted,fmeasure,0.888888888888889,RECOMENDADO
