ontology1,ontology2,metric,value,matcher
source-segment-cmt-conference,target-segment-cmt-conference,fmeasure,0.3,COMA
source-segment-confOf-ekaw,target-segment-confOf-ekaw,fmeasure,0.5,COMA
source-segment-edas-iasted,target-segment-edas-iasted,fmeasure,0.1904761904761905,COMA
source-segment-ekaw-iasted,target-segment-ekaw-iasted,fmeasure,0.22222222222222224,COMA
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,fmeasure,0.3157894736842105,COMA
source-segment-cmt-ekaw,target-segment-cmt-ekaw,fmeasure,0.28571428571428575,COMA
source-segment-conference-edas,target-segment-conference-edas,fmeasure,0.36363636363636365,COMA
source-segment-confOf-edas,target-segment-confOf-edas,fmeasure,0.3333333333333333,COMA
source-segment-confOf-iasted,target-segment-confOf-iasted,fmeasure,0.24000000000000002,COMA
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,fmeasure,0.41379310344827586,COMA
source-segment-conference-sigkdd,target-segment-conference-sigkdd,fmeasure,0.33333333333333337,COMA
source-segment-cmt-confOf,target-segment-cmt-confOf,fmeasure,0.43478260869565216,COMA
source-segment-conference-iasted,target-segment-conference-iasted,fmeasure,0.25,COMA
source-segment-cmt-edas,target-segment-cmt-edas,fmeasure,0.5,COMA
source-segment-edas-sigkdd,target-segment-edas-sigkdd,fmeasure,0.3333333333333333,COMA
source-segment-conference-confOf,target-segment-conference-confOf,fmeasure,0.5217391304347827,COMA
source-segment-edas-ekaw,target-segment-edas-ekaw,fmeasure,0.37499999999999994,COMA
source-segment-conference-ekaw,target-segment-conference-ekaw,fmeasure,0.47058823529411764,COMA
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,fmeasure,0.23529411764705882,COMA
source-segment-cmt-iasted,target-segment-cmt-iasted,fmeasure,0.33333333333333337,COMA
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,fmeasure,0.625,COMA
