ontology1,ontology2,metric,value,matcher
source-segment-confOf-iasted,target-segment-confOf-iasted,precision,0.012658227848101266,LogMap
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,precision,0.012987012987012988,LogMap
source-segment-conference-iasted,target-segment-conference-iasted,precision,0.014814814814814815,LogMap
source-segment-ekaw-iasted,target-segment-ekaw-iasted,precision,0.020689655172413793,LogMap
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,precision,0.061224489795918366,LogMap
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,precision,0.027777777777777776,LogMap
source-segment-conference-edas,target-segment-conference-edas,precision,0.029411764705882353,LogMap
source-segment-cmt-confOf,target-segment-cmt-confOf,precision,0.025974025974025976,LogMap
source-segment-confOf-edas,target-segment-confOf-edas,precision,0.026490066225165563,LogMap
source-segment-conference-sigkdd,target-segment-conference-sigkdd,precision,0.012903225806451613,LogMap
source-segment-edas-sigkdd,target-segment-edas-sigkdd,precision,0.020689655172413793,LogMap
source-segment-conference-ekaw,target-segment-conference-ekaw,precision,0.020833333333333332,LogMap
source-segment-cmt-edas,target-segment-cmt-edas,precision,0.03125,LogMap
source-segment-edas-iasted,target-segment-edas-iasted,precision,0.013888888888888888,LogMap
source-segment-cmt-ekaw,target-segment-cmt-ekaw,precision,0.034482758620689655,LogMap
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,precision,0.02962962962962963,LogMap
source-segment-conference-confOf,target-segment-conference-confOf,precision,0.028985507246376812,LogMap
source-segment-cmt-conference,target-segment-cmt-conference,precision,0.012987012987012988,LogMap
source-segment-cmt-iasted,target-segment-cmt-iasted,precision,0.018867924528301886,LogMap
source-segment-edas-ekaw,target-segment-edas-ekaw,precision,0.031446540880503145,LogMap
source-segment-confOf-ekaw,target-segment-confOf-ekaw,precision,0.014084507042253521,LogMap
