ontology1,ontology2,metric,value,matcher
edas,sigkdd,fmeasure,0.0425531914893617,LogMap
confOf,edas,fmeasure,0.11764705882352942,LogMap
edas,iasted,fmeasure,0.06796116504854369,LogMap
cmt,ekaw,fmeasure,0.05660377358490566,LogMap
cmt,confOf,fmeasure,0.04739336492890994,LogMap
confOf,iasted,fmeasure,0.04419889502762431,LogMap
ekaw,iasted,fmeasure,0.06635071090047394,LogMap
confOf,sigkdd,fmeasure,0.05649717514124294,LogMap
confOf,ekaw,fmeasure,0.13793103448275862,LogMap
cmt,sigkdd,fmeasure,0.10377358490566037,LogMap
cmt,iasted,fmeasure,0.0392156862745098,LogMap
iasted,sigkdd,fmeasure,0.12962962962962965,LogMap
ekaw,sigkdd,fmeasure,0.0660377358490566,LogMap
cmt,edas,fmeasure,0.07655502392344496,LogMap
edas,ekaw,fmeasure,0.11059907834101383,LogMap
