ontology1,ontology2,metric,value,matcher
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,precision,0.14285714285714285,COMA
source-segment-confOf-ekaw,target-segment-confOf-ekaw,precision,0,COMA
source-segment-cmt-iasted,target-segment-cmt-iasted,precision,0.17391304347826086,COMA
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,precision,0.35714285714285715,COMA
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,precision,0.2,COMA
source-segment-confOf-edas,target-segment-confOf-edas,precision,0.25,COMA
source-segment-conference-edas,target-segment-conference-edas,precision,0.26666666666666666,COMA
source-segment-edas-iasted,target-segment-edas-iasted,precision,0.16666666666666666,COMA
source-segment-conference-iasted,target-segment-conference-iasted,precision,0.2857142857142857,COMA
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,precision,0.4117647058823529,COMA
source-segment-conference-ekaw,target-segment-conference-ekaw,precision,0.14285714285714285,COMA
source-segment-cmt-conference,target-segment-cmt-conference,precision,0.2,COMA
source-segment-ekaw-iasted,target-segment-ekaw-iasted,precision,0.125,COMA
source-segment-conference-sigkdd,target-segment-conference-sigkdd,precision,0.3333333333333333,COMA
source-segment-edas-ekaw,target-segment-edas-ekaw,precision,0.14814814814814814,COMA
source-segment-cmt-edas,target-segment-cmt-edas,precision,0.3181818181818182,COMA
source-segment-cmt-ekaw,target-segment-cmt-ekaw,precision,0.20833333333333334,COMA
source-segment-edas-sigkdd,target-segment-edas-sigkdd,precision,0.5,COMA
source-segment-conference-confOf,target-segment-conference-confOf,precision,0.25,COMA
source-segment-cmt-confOf,target-segment-cmt-confOf,precision,0.15,COMA
