ontology1,ontology2,metric,value,matcher
source-segment-edas-iasted,target-segment-edas-iasted,precision,0.030303030303030304,LogMap
source-segment-cmt-confOf,target-segment-cmt-confOf,precision,0.05263157894736842,LogMap
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,precision,0.044444444444444446,LogMap
source-segment-cmt-iasted,target-segment-cmt-iasted,precision,0.05128205128205128,LogMap
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,precision,0.008547008547008548,LogMap
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,precision,0.08139534883720931,LogMap
source-segment-cmt-ekaw,target-segment-cmt-ekaw,precision,0.06944444444444445,LogMap
source-segment-ekaw-iasted,target-segment-ekaw-iasted,precision,0.029850746268656716,LogMap
source-segment-conference-iasted,target-segment-conference-iasted,precision,0.018867924528301886,LogMap
source-segment-conference-confOf,target-segment-conference-confOf,precision,0.03296703296703297,LogMap
source-segment-edas-sigkdd,target-segment-edas-sigkdd,precision,0.045112781954887216,LogMap
source-segment-cmt-conference,target-segment-cmt-conference,precision,0.0784313725490196,LogMap
source-segment-edas-ekaw,target-segment-edas-ekaw,precision,0.047619047619047616,LogMap
source-segment-confOf-ekaw,target-segment-confOf-ekaw,precision,0,LogMap
source-segment-conference-ekaw,target-segment-conference-ekaw,precision,0.02912621359223301,LogMap
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,precision,0.022222222222222223,LogMap
source-segment-cmt-edas,target-segment-cmt-edas,precision,0.1076923076923077,LogMap
source-segment-confOf-edas,target-segment-confOf-edas,precision,0.017391304347826087,LogMap
source-segment-conference-edas,target-segment-conference-edas,precision,0.05154639175257732,LogMap
source-segment-conference-sigkdd,target-segment-conference-sigkdd,precision,0.036036036036036036,LogMap
