"ontology1","ontology2","metric","value","matcher"
"source-segment-ekaw-sigkdd","target-segment-ekaw-sigkdd","fmeasure","0.7272727272727273","YAM"
"source-segment-cmt-iasted","target-segment-cmt-iasted","fmeasure","0.75","YAM"
"source-segment-conference-confOf","target-segment-conference-confOf","fmeasure","0.8571428571428571","YAM"
"source-segment-ekaw-iasted","target-segment-ekaw-iasted","fmeasure","0.6666666666666666","YAM"
"source-segment-cmt-edas","target-segment-cmt-edas","fmeasure","0.7692307692307693","YAM"
"source-segment-cmt-confOf","target-segment-cmt-confOf","fmeasure","0.28571428571428575","YAM"
"source-segment-cmt-ekaw","target-segment-cmt-ekaw","fmeasure","0.6","YAM"
"source-segment-cmt-conference","target-segment-cmt-conference","fmeasure","0.30769230769230765","YAM"
"source-segment-edas-ekaw","target-segment-edas-ekaw","fmeasure","0.4615384615384615","YAM"
"source-segment-confOf-edas","target-segment-confOf-edas","fmeasure","0.5","YAM"
"source-segment-confOf-sigkdd","target-segment-confOf-sigkdd","fmeasure","0.4","YAM"
"source-segment-conference-sigkdd","target-segment-conference-sigkdd","fmeasure","0.6","YAM"
"source-segment-edas-sigkdd","target-segment-edas-sigkdd","fmeasure","0.6666666666666666","YAM"
"source-segment-iasted-sigkdd","target-segment-iasted-sigkdd","fmeasure","0","YAM"
"source-segment-confOf-ekaw","target-segment-confOf-ekaw","fmeasure","0","YAM"
"source-segment-cmt-sigkdd","target-segment-cmt-sigkdd","fmeasure","0.7272727272727273","YAM"
"source-segment-edas-iasted","target-segment-edas-iasted","fmeasure","0.5","YAM"
"source-segment-conference-ekaw","target-segment-conference-ekaw","fmeasure","0.3333333333333333","YAM"
"source-segment-conference-iasted","target-segment-conference-iasted","fmeasure","0.5714285714285715","YAM"
"source-segment-conference-edas","target-segment-conference-edas","fmeasure","0.6666666666666666","YAM"
