"ontology1","ontology2","metric","value","matcher"
"source-segment-confOf-ekaw","target-segment-confOf-ekaw","precision","0","YAM"
"source-segment-ekaw-iasted","target-segment-ekaw-iasted","precision","1","YAM"
"source-segment-cmt-edas","target-segment-cmt-edas","precision","1","YAM"
"source-segment-edas-iasted","target-segment-edas-iasted","precision","0.6666666666666666","YAM"
"source-segment-edas-sigkdd","target-segment-edas-sigkdd","precision","1","YAM"
"source-segment-edas-ekaw","target-segment-edas-ekaw","precision","1","YAM"
"source-segment-iasted-sigkdd","target-segment-iasted-sigkdd","precision","0","YAM"
"source-segment-cmt-iasted","target-segment-cmt-iasted","precision","0.75","YAM"
"source-segment-confOf-sigkdd","target-segment-confOf-sigkdd","precision","1","YAM"
"source-segment-cmt-sigkdd","target-segment-cmt-sigkdd","precision","1","YAM"
"source-segment-conference-confOf","target-segment-conference-confOf","precision","1","YAM"
"source-segment-conference-iasted","target-segment-conference-iasted","precision","1","YAM"
"source-segment-confOf-edas","target-segment-confOf-edas","precision","1","YAM"
"source-segment-cmt-conference","target-segment-cmt-conference","precision","0.6666666666666666","YAM"
"source-segment-cmt-ekaw","target-segment-cmt-ekaw","precision","1","YAM"
"source-segment-conference-ekaw","target-segment-conference-ekaw","precision","0.5","YAM"
"source-segment-cmt-confOf","target-segment-cmt-confOf","precision","0.6666666666666666","YAM"
"source-segment-conference-edas","target-segment-conference-edas","precision","1","YAM"
"source-segment-conference-sigkdd","target-segment-conference-sigkdd","precision","0.75","YAM"
"source-segment-ekaw-sigkdd","target-segment-ekaw-sigkdd","precision","1","YAM"
