ontology1,ontology2,metric,value,matcher
source-segment-conference-sigkdd,target-segment-conference-sigkdd,precision,1,AML
source-segment-conference-ekaw,target-segment-conference-ekaw,precision,1,AML
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,precision,1,AML
source-segment-cmt-ekaw,target-segment-cmt-ekaw,precision,1,AML
source-segment-edas-iasted,target-segment-edas-iasted,precision,0.5,AML
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,precision,0.75,AML
source-segment-cmt-confOf,target-segment-cmt-confOf,precision,0.8333333333333334,AML
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,precision,1,AML
source-segment-confOf-ekaw,target-segment-confOf-ekaw,precision,0.5,AML
source-segment-confOf-edas,target-segment-confOf-edas,precision,0.8571428571428571,AML
source-segment-conference-iasted,target-segment-conference-iasted,precision,1,AML
source-segment-conference-confOf,target-segment-conference-confOf,precision,0.875,AML
source-segment-cmt-iasted,target-segment-cmt-iasted,precision,1,AML
source-segment-ekaw-iasted,target-segment-ekaw-iasted,precision,0.75,AML
source-segment-confOf-iasted,target-segment-confOf-iasted,precision,0.6666666666666666,AML
source-segment-conference-edas,target-segment-conference-edas,precision,0.75,AML
source-segment-edas-ekaw,target-segment-edas-ekaw,precision,1,AML
source-segment-cmt-edas,target-segment-cmt-edas,precision,0.7142857142857143,AML
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,precision,0.8,AML
source-segment-edas-sigkdd,target-segment-edas-sigkdd,precision,0.75,AML
source-segment-cmt-conference,target-segment-cmt-conference,precision,0.5,AML
