ontology1,ontology2,metric,value,matcher
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,fmeasure,0.05714285714285714,LogMap
source-segment-edas-iasted,target-segment-edas-iasted,fmeasure,0.0273972602739726,LogMap
source-segment-cmt-conference,target-segment-cmt-conference,fmeasure,0.025157232704402517,LogMap
source-segment-conference-sigkdd,target-segment-conference-sigkdd,fmeasure,0.025,LogMap
source-segment-confOf-iasted,target-segment-confOf-iasted,fmeasure,0.02484472049689441,LogMap
source-segment-cmt-ekaw,target-segment-cmt-ekaw,fmeasure,0.06493506493506494,LogMap
source-segment-conference-ekaw,target-segment-conference-ekaw,fmeasure,0.040268456375838924,LogMap
source-segment-confOf-edas,target-segment-confOf-edas,fmeasure,0.05031446540880503,LogMap
source-segment-conference-edas,target-segment-conference-edas,fmeasure,0.05517241379310345,LogMap
source-segment-cmt-confOf,target-segment-cmt-confOf,fmeasure,0.04938271604938272,LogMap
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,fmeasure,0.025477707006369428,LogMap
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,fmeasure,0.11538461538461538,LogMap
source-segment-ekaw-iasted,target-segment-ekaw-iasted,fmeasure,0.040268456375838924,LogMap
source-segment-cmt-iasted,target-segment-cmt-iasted,fmeasure,0.037037037037037035,LogMap
source-segment-cmt-edas,target-segment-cmt-edas,fmeasure,0.05952380952380952,LogMap
source-segment-conference-confOf,target-segment-conference-confOf,fmeasure,0.0547945205479452,LogMap
source-segment-edas-ekaw,target-segment-edas-ekaw,fmeasure,0.06060606060606061,LogMap
source-segment-edas-sigkdd,target-segment-edas-sigkdd,fmeasure,0.040268456375838924,LogMap
source-segment-confOf-ekaw,target-segment-confOf-ekaw,fmeasure,0.027027027027027032,LogMap
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,fmeasure,0.053691275167785234,LogMap
source-segment-conference-iasted,target-segment-conference-iasted,fmeasure,0.028985507246376812,LogMap
