ontology1,ontology2,metric,value,matcher
source-segment-cmt-ekaw,target-segment-cmt-ekaw,precision,1,RECOMENDADO
source-segment-confOf-edas,target-segment-confOf-edas,precision,0.8571428571428571,RECOMENDADO
source-segment-conference-sigkdd,target-segment-conference-sigkdd,precision,1,RECOMENDADO
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,precision,0.8,RECOMENDADO
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,precision,1,RECOMENDADO
source-segment-cmt-edas,target-segment-cmt-edas,precision,0.7142857142857143,RECOMENDADO
source-segment-edas-ekaw,target-segment-edas-ekaw,precision,1,RECOMENDADO
source-segment-cmt-conference,target-segment-cmt-conference,precision,0.5,RECOMENDADO
source-segment-conference-iasted,target-segment-conference-iasted,precision,1,RECOMENDADO
source-segment-edas-sigkdd,target-segment-edas-sigkdd,precision,0.75,RECOMENDADO
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,precision,1,RECOMENDADO
source-segment-conference-ekaw,target-segment-conference-ekaw,precision,1,RECOMENDADO
source-segment-cmt-iasted,target-segment-cmt-iasted,precision,1,RECOMENDADO
source-segment-confOf-iasted,target-segment-confOf-iasted,precision,1,RECOMENDADO
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,precision,0.75,RECOMENDADO
source-segment-conference-edas,target-segment-conference-edas,precision,0.8571428571428571,RECOMENDADO
source-segment-confOf-ekaw,target-segment-confOf-ekaw,precision,0.6666666666666666,RECOMENDADO
source-segment-ekaw-iasted,target-segment-ekaw-iasted,precision,1,RECOMENDADO
source-segment-cmt-confOf,target-segment-cmt-confOf,precision,0.8333333333333334,RECOMENDADO
source-segment-edas-iasted,target-segment-edas-iasted,precision,0.5,RECOMENDADO
source-segment-conference-confOf,target-segment-conference-confOf,precision,1,RECOMENDADO
