ontology1,ontology2,metric,value,matcher
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,recall,1,RECOMENDADO
source-segment-conference-ekaw,target-segment-conference-ekaw,recall,0.8,RECOMENDADO
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,recall,1,RECOMENDADO
source-segment-cmt-conference,target-segment-cmt-conference,recall,0.6,RECOMENDADO
source-segment-edas-sigkdd,target-segment-edas-sigkdd,recall,1,RECOMENDADO
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,recall,1,RECOMENDADO
source-segment-ekaw-iasted,target-segment-ekaw-iasted,recall,0.75,RECOMENDADO
source-segment-confOf-ekaw,target-segment-confOf-ekaw,recall,0.8333333333333334,RECOMENDADO
source-segment-edas-iasted,target-segment-edas-iasted,recall,1,RECOMENDADO
source-segment-conference-edas,target-segment-conference-edas,recall,0.8888888888888888,RECOMENDADO
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,recall,0.8,RECOMENDADO
source-segment-cmt-edas,target-segment-cmt-edas,recall,0.75,RECOMENDADO
source-segment-cmt-iasted,target-segment-cmt-iasted,recall,1,RECOMENDADO
source-segment-cmt-confOf,target-segment-cmt-confOf,recall,0.625,RECOMENDADO
source-segment-conference-iasted,target-segment-conference-iasted,recall,0.6666666666666666,RECOMENDADO
source-segment-confOf-iasted,target-segment-confOf-iasted,recall,1,RECOMENDADO
source-segment-conference-confOf,target-segment-conference-confOf,recall,0.875,RECOMENDADO
source-segment-confOf-edas,target-segment-confOf-edas,recall,0.75,RECOMENDADO
source-segment-edas-ekaw,target-segment-edas-ekaw,recall,0.8333333333333334,RECOMENDADO
source-segment-conference-sigkdd,target-segment-conference-sigkdd,recall,0.8,RECOMENDADO
source-segment-cmt-ekaw,target-segment-cmt-ekaw,recall,0.5555555555555556,RECOMENDADO
