ontology1,ontology2,metric,value,matcher,experiment
source-segment-edas-sigkdd,target-segment-edas-sigkdd,fmeasure,0.6666666666666666,COMA,exp2
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,fmeasure,0.22222222222222224,COMA,exp2
source-segment-conference-iasted,target-segment-conference-iasted,fmeasure,0.3333333333333333,COMA,exp2
source-segment-cmt-edas,target-segment-cmt-edas,fmeasure,0.4666666666666667,COMA,exp2
source-segment-edas-iasted,target-segment-edas-iasted,fmeasure,0.27586206896551724,COMA,exp2
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,fmeasure,0.5833333333333334,COMA,exp2
source-segment-conference-confOf,target-segment-conference-confOf,fmeasure,0.375,COMA,exp2
source-segment-cmt-conference,target-segment-cmt-conference,fmeasure,0.26666666666666666,COMA,exp2
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,fmeasure,0.2,COMA,exp2
source-segment-confOf-ekaw,target-segment-confOf-ekaw,fmeasure,0,COMA,exp2
source-segment-cmt-confOf,target-segment-cmt-confOf,fmeasure,0.19354838709677416,COMA,exp2
source-segment-cmt-ekaw,target-segment-cmt-ekaw,fmeasure,0.3225806451612903,COMA,exp2
source-segment-conference-ekaw,target-segment-conference-ekaw,fmeasure,0.18181818181818182,COMA,exp2
source-segment-conference-sigkdd,target-segment-conference-sigkdd,fmeasure,0.4444444444444444,COMA,exp2
source-segment-edas-ekaw,target-segment-edas-ekaw,fmeasure,0.21621621621621623,COMA,exp2
source-segment-ekaw-iasted,target-segment-ekaw-iasted,fmeasure,0.21428571428571427,COMA,exp2
source-segment-cmt-iasted,target-segment-cmt-iasted,fmeasure,0.29629629629629634,COMA,exp2
source-segment-confOf-edas,target-segment-confOf-edas,fmeasure,0.28571428571428575,COMA,exp2
source-segment-conference-edas,target-segment-conference-edas,fmeasure,0.3478260869565218,COMA,exp2
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,fmeasure,0.4761904761904762,COMA,exp2
source-segment-cmt-confOf,target-segment-cmt-confOf,fmeasure,0.08823529411764705,LogMap,exp2
source-segment-conference-sigkdd,target-segment-conference-sigkdd,fmeasure,0.06837606837606838,LogMap,exp2
source-segment-conference-ekaw,target-segment-conference-ekaw,fmeasure,0.05405405405405406,LogMap,exp2
source-segment-conference-edas,target-segment-conference-edas,fmeasure,0.09523809523809522,LogMap,exp2
source-segment-edas-sigkdd,target-segment-edas-sigkdd,fmeasure,0.08633093525179857,LogMap,exp2
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,fmeasure,0.01652892561983471,LogMap,exp2
source-segment-conference-confOf,target-segment-conference-confOf,fmeasure,0.06315789473684211,LogMap,exp2
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,fmeasure,0.04347826086956522,LogMap,exp2
source-segment-confOf-edas,target-segment-confOf-edas,fmeasure,0.03305785123966942,LogMap,exp2
source-segment-cmt-edas,target-segment-cmt-edas,fmeasure,0.1917808219178082,LogMap,exp2
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,fmeasure,0.08450704225352113,LogMap,exp2
source-segment-cmt-ekaw,target-segment-cmt-ekaw,fmeasure,0.12658227848101267,LogMap,exp2
source-segment-cmt-iasted,target-segment-cmt-iasted,fmeasure,0.09756097560975609,LogMap,exp2
source-segment-confOf-ekaw,target-segment-confOf-ekaw,fmeasure,0,LogMap,exp2
source-segment-cmt-conference,target-segment-cmt-conference,fmeasure,0.13114754098360654,LogMap,exp2
source-segment-edas-ekaw,target-segment-edas-ekaw,fmeasure,0.08823529411764705,LogMap,exp2
source-segment-ekaw-iasted,target-segment-ekaw-iasted,fmeasure,0.05797101449275362,LogMap,exp2
source-segment-edas-iasted,target-segment-edas-iasted,fmeasure,0.05839416058394161,LogMap,exp2
source-segment-conference-iasted,target-segment-conference-iasted,fmeasure,0.036036036036036036,LogMap,exp2
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,fmeasure,0.15053763440860218,LogMap,exp2
source-segment-confOf-ekaw,target-segment-confOf-ekaw,fmeasure,0,AML,exp2
source-segment-conference-edas,target-segment-conference-edas,fmeasure,0.7142857142857143,AML,exp2
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,fmeasure,0.3333333333333333,AML,exp2
source-segment-cmt-edas,target-segment-cmt-edas,fmeasure,0.875,AML,exp2
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,fmeasure,1,AML,exp2
source-segment-conference-iasted,target-segment-conference-iasted,fmeasure,0.5714285714285715,AML,exp2
source-segment-cmt-iasted,target-segment-cmt-iasted,fmeasure,0.888888888888889,AML,exp2
source-segment-edas-iasted,target-segment-edas-iasted,fmeasure,0.8000000000000002,AML,exp2
source-segment-conference-ekaw,target-segment-conference-ekaw,fmeasure,0.42857142857142855,AML,exp2
source-segment-confOf-edas,target-segment-confOf-edas,fmeasure,0.4444444444444444,AML,exp2
source-segment-cmt-ekaw,target-segment-cmt-ekaw,fmeasure,0.923076923076923,AML,exp2
source-segment-edas-ekaw,target-segment-edas-ekaw,fmeasure,0.588235294117647,AML,exp2
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,fmeasure,0.3333333333333333,AML,exp2
source-segment-edas-sigkdd,target-segment-edas-sigkdd,fmeasure,1,AML,exp2
source-segment-conference-sigkdd,target-segment-conference-sigkdd,fmeasure,0.8,AML,exp2
source-segment-conference-confOf,target-segment-conference-confOf,fmeasure,0.75,AML,exp2
source-segment-ekaw-iasted,target-segment-ekaw-iasted,fmeasure,0.8571428571428571,AML,exp2
source-segment-cmt-confOf,target-segment-cmt-confOf,fmeasure,0.37499999999999994,AML,exp2
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,fmeasure,0.8333333333333333,AML,exp2
source-segment-cmt-conference,target-segment-cmt-conference,fmeasure,0.588235294117647,AML,exp2
source-segment-edas-iasted,target-segment-edas-iasted,fmeasure,0.8000000000000002,RECOMENDADO,exp2
source-segment-cmt-conference,target-segment-cmt-conference,fmeasure,0.588235294117647,RECOMENDADO,exp2
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,fmeasure,1,RECOMENDADO,exp2
source-segment-cmt-confOf,target-segment-cmt-confOf,fmeasure,0.37499999999999994,RECOMENDADO,exp2
source-segment-conference-iasted,target-segment-conference-iasted,fmeasure,0.5714285714285715,RECOMENDADO,exp2
source-segment-conference-edas,target-segment-conference-edas,fmeasure,0.7142857142857143,RECOMENDADO,exp2
source-segment-cmt-edas,target-segment-cmt-edas,fmeasure,0.875,RECOMENDADO,exp2
source-segment-confOf-edas,target-segment-confOf-edas,fmeasure,0.4444444444444444,RECOMENDADO,exp2
source-segment-ekaw-iasted,target-segment-ekaw-iasted,fmeasure,0.8571428571428571,RECOMENDADO,exp2
source-segment-conference-confOf,target-segment-conference-confOf,fmeasure,0.75,RECOMENDADO,exp2
source-segment-edas-sigkdd,target-segment-edas-sigkdd,fmeasure,1,RECOMENDADO,exp2
source-segment-cmt-ekaw,target-segment-cmt-ekaw,fmeasure,0.923076923076923,RECOMENDADO,exp2
source-segment-conference-ekaw,target-segment-conference-ekaw,fmeasure,0.42857142857142855,RECOMENDADO,exp2
source-segment-conference-sigkdd,target-segment-conference-sigkdd,fmeasure,0.8,RECOMENDADO,exp2
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,fmeasure,0.8333333333333333,RECOMENDADO,exp2
source-segment-edas-ekaw,target-segment-edas-ekaw,fmeasure,0.588235294117647,RECOMENDADO,exp2
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,fmeasure,0.4,RECOMENDADO,exp2
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,fmeasure,0.3333333333333333,RECOMENDADO,exp2
source-segment-confOf-ekaw,target-segment-confOf-ekaw,fmeasure,0.25,RECOMENDADO,exp2
source-segment-cmt-iasted,target-segment-cmt-iasted,fmeasure,0.888888888888889,RECOMENDADO,exp2
source-segment-cmt-conference,target-segment-cmt-conference,fmeasure,0.3,COMA,exp3
source-segment-confOf-ekaw,target-segment-confOf-ekaw,fmeasure,0.5,COMA,exp3
source-segment-edas-iasted,target-segment-edas-iasted,fmeasure,0.1904761904761905,COMA,exp3
source-segment-ekaw-iasted,target-segment-ekaw-iasted,fmeasure,0.22222222222222224,COMA,exp3
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,fmeasure,0.3157894736842105,COMA,exp3
source-segment-cmt-ekaw,target-segment-cmt-ekaw,fmeasure,0.28571428571428575,COMA,exp3
source-segment-conference-edas,target-segment-conference-edas,fmeasure,0.36363636363636365,COMA,exp3
source-segment-confOf-edas,target-segment-confOf-edas,fmeasure,0.3333333333333333,COMA,exp3
source-segment-confOf-iasted,target-segment-confOf-iasted,fmeasure,0.24000000000000002,COMA,exp3
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,fmeasure,0.41379310344827586,COMA,exp3
source-segment-conference-sigkdd,target-segment-conference-sigkdd,fmeasure,0.33333333333333337,COMA,exp3
source-segment-cmt-confOf,target-segment-cmt-confOf,fmeasure,0.43478260869565216,COMA,exp3
source-segment-conference-iasted,target-segment-conference-iasted,fmeasure,0.25,COMA,exp3
source-segment-cmt-edas,target-segment-cmt-edas,fmeasure,0.5,COMA,exp3
source-segment-edas-sigkdd,target-segment-edas-sigkdd,fmeasure,0.3333333333333333,COMA,exp3
source-segment-conference-confOf,target-segment-conference-confOf,fmeasure,0.5217391304347827,COMA,exp3
source-segment-edas-ekaw,target-segment-edas-ekaw,fmeasure,0.37499999999999994,COMA,exp3
source-segment-conference-ekaw,target-segment-conference-ekaw,fmeasure,0.47058823529411764,COMA,exp3
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,fmeasure,0.23529411764705882,COMA,exp3
source-segment-cmt-iasted,target-segment-cmt-iasted,fmeasure,0.33333333333333337,COMA,exp3
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,fmeasure,0.625,COMA,exp3
source-segment-conference-sigkdd,target-segment-conference-sigkdd,fmeasure,0.7499999999999999,AML,exp3
source-segment-confOf-edas,target-segment-confOf-edas,fmeasure,0.7999999999999999,AML,exp3
source-segment-conference-iasted,target-segment-conference-iasted,fmeasure,0.8,AML,exp3
source-segment-conference-ekaw,target-segment-conference-ekaw,fmeasure,0.7499999999999999,AML,exp3
source-segment-conference-confOf,target-segment-conference-confOf,fmeasure,0.875,AML,exp3
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,fmeasure,0.7142857142857143,AML,exp3
