ontology1,ontology2,metric,value,matcher,expid
ekaw,iasted,fmeasure,0.7777777777777777,YAM,exp1
cmt,ekaw,fmeasure,0.631578947368421,YAM,exp1
ekaw,sigkdd,fmeasure,0.8571428571428572,YAM,exp1
cmt,edas,fmeasure,0.896551724137931,YAM,exp1
confOf,ekaw,fmeasure,0.8108108108108107,YAM,exp1
edas,ekaw,fmeasure,0.7692307692307693,YAM,exp1
iasted,sigkdd,fmeasure,0.8749999999999999,YAM,exp1
confOf,iasted,fmeasure,0.5333333333333333,YAM,exp1
edas,iasted,fmeasure,0.5517241379310345,YAM,exp1
cmt,iasted,fmeasure,0.888888888888889,YAM,exp1
edas,sigkdd,fmeasure,0.6153846153846154,YAM,exp1
cmt,confOf,fmeasure,0.5833333333333334,YAM,exp1
confOf,edas,fmeasure,0.7058823529411765,YAM,exp1
confOf,sigkdd,fmeasure,0.8571428571428571,YAM,exp1
cmt,sigkdd,fmeasure,0.9166666666666666,YAM,exp1
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,fmeasure,0.7272727272727273,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA,exp2
source-segment-edas-sigkdd,target-segment-edas-sigkdd,fmeasure,0.6666666666666666,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_LOWMEM,exp2
source-segment-conference-edas,target-segment-conference-edas,fmeasure,0.7692307692307693,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_LOWMEM,exp2
source-segment-conference-iasted,target-segment-conference-iasted,fmeasure,0.5714285714285715,AML-SC-50,exp2
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,fmeasure,0.4,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,exp2
source-segment-cmt-ekaw,target-segment-cmt-ekaw,fmeasure,0.6,AML-SC-8,exp2
source-segment-ekaw-iasted,target-segment-ekaw-iasted,fmeasure,0.6666666666666666,AML-SC-30,exp2
source-segment-cmt-conference,target-segment-cmt-conference,fmeasure,0.33333333333333337,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,exp2
source-segment-cmt-confOf,target-segment-cmt-confOf,fmeasure,0.42857142857142855,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_LOWMEM,exp2
