ontology1,ontology2,metric,value,matcher,expid
confOf,sigkdd,precision,0.8571428571428571,YAM,exp1
cmt,iasted,precision,0.8,YAM,exp1
cmt,edas,precision,0.8125,YAM,exp1
confOf,iasted,precision,0.6666666666666666,YAM,exp1
cmt,sigkdd,precision,0.9166666666666666,YAM,exp1
edas,sigkdd,precision,0.5,YAM,exp1
edas,ekaw,precision,0.9375,YAM,exp1
ekaw,iasted,precision,0.875,YAM,exp1
edas,iasted,precision,0.8,YAM,exp1
cmt,ekaw,precision,0.75,YAM,exp1
confOf,ekaw,precision,0.8823529411764706,YAM,exp1
ekaw,sigkdd,precision,0.9,YAM,exp1
iasted,sigkdd,precision,0.8235294117647058,YAM,exp1
cmt,confOf,precision,0.875,YAM,exp1
confOf,edas,precision,0.8,YAM,exp1
source-segment-ekaw-iasted,target-segment-ekaw-iasted,precision,1,AML-WC-6,exp2
source-segment-edas-sigkdd,target-segment-edas-sigkdd,precision,1,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,exp2
source-segment-edas-ekaw,target-segment-edas-ekaw,precision,1,AML-WC-18,exp2
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,precision,0.02702702702702703,LogMap,exp2
source-segment-cmt-confOf,target-segment-cmt-confOf,precision,1,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_LOWMEM,exp2
source-segment-cmt-ekaw,target-segment-cmt-ekaw,precision,1,YAM,exp2
source-segment-edas-iasted,target-segment-edas-iasted,precision,0.6666666666666666,AML-WC-28,exp2
source-segment-conference-iasted,target-segment-conference-iasted,precision,1,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,exp2
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,precision,1,AML-SC-25,exp2
source-segment-cmt-edas,target-segment-cmt-edas,precision,1,AML-SC-10,exp2
source-segment-cmt-conference,target-segment-cmt-conference,precision,1,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,exp2
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,precision,1,COMA-RES2_CHILDREN-SIM_STR_COSINE_PPJOINPLUS,exp2
source-segment-confOf-edas,target-segment-confOf-edas,precision,1,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA,exp2
source-segment-conference-edas,target-segment-conference-edas,precision,1,COMA-RES2_SELFNODE-SIM_STR_EQUAL,exp2
source-segment-conference-sigkdd,target-segment-conference-sigkdd,precision,1,COMA-RES2_SELFNODE-SIM_STR_EDITDIST,exp2
source-segment-confOf-ekaw,target-segment-confOf-ekaw,precision,0.013513513513513514,LogMap,exp2
source-segment-conference-confOf,target-segment-conference-confOf,precision,1,AML-WC-10,exp2
source-segment-conference-ekaw,target-segment-conference-ekaw,precision,1,COMA-RES2_PARENTS-SIM_STR_JACCARD,exp2
source-segment-cmt-iasted,target-segment-cmt-iasted,precision,1,COMA-RES2_PARENTS-SIM_STR_COSINE_PPJOINPLUS,exp2
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,precision,1,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,exp2
source-segment-confOf-ekaw,target-segment-confOf-ekaw,precision,0.6666666666666666,COMA-RES2_SELFPATH-SIM_STR_JACCARD,exp3
source-segment-cmt-ekaw,target-segment-cmt-ekaw,precision,1,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_LOWMEM,exp3
source-segment-confOf-iasted,target-segment-confOf-iasted,precision,1,COMA-RES2_SELFPATH-SIM_STR_JAROWINKLER,exp3
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,precision,1,COMA-RES2_SELFNODE-SIM_STR_EDITDIST,exp3
source-segment-edas-sigkdd,target-segment-edas-sigkdd,precision,1,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,exp3
