lexicalAfinity,structuralAfinity,syntacticAfinity,measure
LOW,LOW,LOW,precision
LOW,LOW,LOW,recall
LOW,LOW,LOW,fmeasure
LOW,LOW,LOW,executionTime
LOW,LOW,MEDIUM,precision
LOW,LOW,MEDIUM,recall
LOW,LOW,MEDIUM,fmeasure
LOW,LOW,MEDIUM,executionTime
LOW,LOW,HIGH,precision
LOW,LOW,HIGH,recall
LOW,LOW,HIGH,fmeasure
LOW,LOW,HIGH,executionTime
LOW,MEDIUM,LOW,precision
LOW,MEDIUM,LOW,recall
LOW,MEDIUM,LOW,fmeasure
LOW,MEDIUM,LOW,executionTime
LOW,MEDIUM,MEDIUM,precision
LOW,MEDIUM,MEDIUM,recall
LOW,MEDIUM,MEDIUM,fmeasure
LOW,MEDIUM,MEDIUM,executionTime
LOW,MEDIUM,HIGH,precision
LOW,MEDIUM,HIGH,recall
LOW,MEDIUM,HIGH,fmeasure
LOW,MEDIUM,HIGH,executionTime
LOW,HIGH,LOW,precision
LOW,HIGH,LOW,recall
LOW,HIGH,LOW,fmeasure
LOW,HIGH,LOW,executionTime
LOW,HIGH,MEDIUM,precision
LOW,HIGH,MEDIUM,recall
LOW,HIGH,MEDIUM,fmeasure
LOW,HIGH,MEDIUM,executionTime
LOW,HIGH,HIGH,precision
LOW,HIGH,HIGH,recall
LOW,HIGH,HIGH,fmeasure
LOW,HIGH,HIGH,executionTime
MEDIUM,LOW,LOW,precision
MEDIUM,LOW,LOW,recall
MEDIUM,LOW,LOW,fmeasure
MEDIUM,LOW,LOW,executionTime
MEDIUM,LOW,MEDIUM,precision
MEDIUM,LOW,MEDIUM,recall
MEDIUM,LOW,MEDIUM,fmeasure
MEDIUM,LOW,MEDIUM,executionTime
MEDIUM,LOW,HIGH,precision
MEDIUM,LOW,HIGH,recall
MEDIUM,LOW,HIGH,fmeasure
MEDIUM,LOW,HIGH,,executionTime
MEDIUM,MEDIUM,LOW,precision
MEDIUM,MEDIUM,LOW,recall
MEDIUM,MEDIUM,LOW,fmeasure
MEDIUM,MEDIUM,LOW,executionTime
MEDIUM,MEDIUM,MEDIUM,precision
MEDIUM,MEDIUM,MEDIUM,recall
MEDIUM,MEDIUM,MEDIUM,fmeasure
MEDIUM,MEDIUM,MEDIUM,executionTime
MEDIUM,MEDIUM,HIGH,precision
MEDIUM,MEDIUM,HIGH,recall
MEDIUM,MEDIUM,HIGH,fmeasure
MEDIUM,MEDIUM,HIGH,executionTime
MEDIUM,HIGH,LOW,precision
MEDIUM,HIGH,LOW,recall
MEDIUM,HIGH,LOW,fmeasure
MEDIUM,HIGH,LOW,executionTime
MEDIUM,HIGH,MEDIUM,precision
MEDIUM,HIGH,MEDIUM,recall
MEDIUM,HIGH,MEDIUM,fmeasure
MEDIUM,HIGH,MEDIUM,executionTime
MEDIUM,HIGH,HIGH,precision
MEDIUM,HIGH,HIGH,recall
MEDIUM,HIGH,HIGH,fmeasure
MEDIUM,HIGH,HIGH,executionTime
HIGH,LOW,LOW,precision
HIGH,LOW,LOW,recall
HIGH,LOW,LOW,fmeasure
HIGH,LOW,LOW,executionTime
HIGH,LOW,MEDIUM,precision
HIGH,LOW,MEDIUM,recall
HIGH,LOW,MEDIUM,fmeasure
HIGH,LOW,MEDIUM,executionTime
HIGH,LOW,HIGH,precision
HIGH,LOW,HIGH,recall
HIGH,LOW,HIGH,fmeasure
HIGH,LOW,HIGH,executionTime
HIGH,MEDIUM,LOW,precision
HIGH,MEDIUM,LOW,recall
HIGH,MEDIUM,LOW,fmeasure
HIGH,MEDIUM,LOW,executionTime
HIGH,MEDIUM,MEDIUM,precision
HIGH,MEDIUM,MEDIUM,recall
HIGH,MEDIUM,MEDIUM,fmeasure
HIGH,MEDIUM,MEDIUM,executionTime
HIGH,MEDIUM,HIGH,precision
HIGH,MEDIUM,HIGH,recall
HIGH,MEDIUM,HIGH,fmeasure
HIGH,MEDIUM,HIGH,executionTime
HIGH,HIGH,LOW,precision
HIGH,HIGH,LOW,recall
HIGH,HIGH,LOW,fmeasure
HIGH,HIGH,LOW,executionTime
HIGH,HIGH,MEDIUM,precision
HIGH,HIGH,MEDIUM,recall
HIGH,HIGH,MEDIUM,fmeasure
HIGH,HIGH,MEDIUM,executionTime
HIGH,HIGH,HIGH,precision
HIGH,HIGH,HIGH,recall
HIGH,HIGH,HIGH,fmeasure
HIGH,HIGH,HIGH,executionTime
