ontology1,ontology2,metric,value,matcher,experiment
source-segment-confOf-ekaw,target-segment-confOf-ekaw,fmeasure,0,LogMap,exp2
source-segment-confOf-edas,target-segment-confOf-edas,fmeasure,0.06451612903225806,LogMap,exp2
source-segment-conference-edas,target-segment-conference-edas,fmeasure,0.14814814814814817,LogMap,exp2
source-segment-cmt-iasted,target-segment-cmt-iasted,fmeasure,0.15384615384615383,LogMap,exp2
source-segment-edas-ekaw,target-segment-edas-ekaw,fmeasure,0.22222222222222224,LogMap,exp2
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,fmeasure,0.17391304347826086,LogMap,exp2
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,fmeasure,0.03225806451612903,LogMap,exp2
source-segment-conference-iasted,target-segment-conference-iasted,fmeasure,0.07142857142857142,LogMap,exp2
source-segment-conference-confOf,target-segment-conference-confOf,fmeasure,0.13043478260869565,LogMap,exp2
source-segment-cmt-ekaw,target-segment-cmt-ekaw,fmeasure,0.15789473684210525,LogMap,exp2
source-segment-edas-iasted,target-segment-edas-iasted,fmeasure,0.1818181818181818,LogMap,exp2
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,fmeasure,0.3333333333333333,LogMap,exp2
source-segment-cmt-conference,target-segment-cmt-conference,fmeasure,0.13333333333333333,LogMap,exp2
source-segment-edas-sigkdd,target-segment-edas-sigkdd,fmeasure,0.2608695652173913,LogMap,exp2
source-segment-cmt-edas,target-segment-cmt-edas,fmeasure,0.2777777777777778,LogMap,exp2
source-segment-conference-ekaw,target-segment-conference-ekaw,fmeasure,0.07017543859649122,LogMap,exp2
source-segment-conference-sigkdd,target-segment-conference-sigkdd,fmeasure,0.09999999999999999,LogMap,exp2
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,fmeasure,0,LogMap,exp2
source-segment-cmt-confOf,target-segment-cmt-confOf,fmeasure,0.1176470588235294,LogMap,exp2
source-segment-ekaw-iasted,target-segment-ekaw-iasted,fmeasure,0.19047619047619047,LogMap,exp2
source-segment-edas-sigkdd,target-segment-edas-sigkdd,fmeasure,0.6666666666666666,COMA,exp2
source-segment-cmt-ekaw,target-segment-cmt-ekaw,fmeasure,0.6,COMA,exp2
source-segment-confOf-ekaw,target-segment-confOf-ekaw,fmeasure,0,COMA,exp2
source-segment-conference-sigkdd,target-segment-conference-sigkdd,fmeasure,0.8,COMA,exp2
source-segment-ekaw-iasted,target-segment-ekaw-iasted,fmeasure,0.5714285714285715,COMA,exp2
source-segment-confOf-edas,target-segment-confOf-edas,fmeasure,0.4444444444444444,COMA,exp2
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,fmeasure,0.3333333333333333,COMA,exp2
source-segment-cmt-conference,target-segment-cmt-conference,fmeasure,0.30769230769230765,COMA,exp2
source-segment-cmt-edas,target-segment-cmt-edas,fmeasure,0.7692307692307693,COMA,exp2
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,fmeasure,0.7272727272727273,COMA,exp2
source-segment-conference-confOf,target-segment-conference-confOf,fmeasure,0.75,COMA,exp2
source-segment-conference-edas,target-segment-conference-edas,fmeasure,0.7692307692307693,COMA,exp2
source-segment-cmt-confOf,target-segment-cmt-confOf,fmeasure,0.26666666666666666,COMA,exp2
source-segment-conference-iasted,target-segment-conference-iasted,fmeasure,0.5,COMA,exp2
source-segment-edas-iasted,target-segment-edas-iasted,fmeasure,0.4444444444444445,COMA,exp2
source-segment-conference-ekaw,target-segment-conference-ekaw,fmeasure,0.5,COMA,exp2
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,fmeasure,0,COMA,exp2
source-segment-cmt-iasted,target-segment-cmt-iasted,fmeasure,0.6666666666666665,COMA,exp2
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,fmeasure,0.7272727272727273,COMA,exp2
source-segment-edas-ekaw,target-segment-edas-ekaw,fmeasure,0.4615384615384615,COMA,exp2
source-segment-cmt-iasted,target-segment-cmt-iasted,fmeasure,0.75,REDOMA,exp2
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,fmeasure,0.7272727272727273,REDOMA,exp2
source-segment-cmt-ekaw,target-segment-cmt-ekaw,fmeasure,0.6,REDOMA,exp2
source-segment-confOf-ekaw,target-segment-confOf-ekaw,fmeasure,0,REDOMA,exp2
source-segment-edas-ekaw,target-segment-edas-ekaw,fmeasure,0.4615384615384615,REDOMA,exp2
source-segment-edas-iasted,target-segment-edas-iasted,fmeasure,0.5,REDOMA,exp2
source-segment-conference-edas,target-segment-conference-edas,fmeasure,0.7692307692307693,REDOMA,exp2
source-segment-cmt-conference,target-segment-cmt-conference,fmeasure,0.33333333333333337,REDOMA,exp2
source-segment-cmt-confOf,target-segment-cmt-confOf,fmeasure,0.42857142857142855,REDOMA,exp2
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,fmeasure,0,REDOMA,exp2
source-segment-conference-iasted,target-segment-conference-iasted,fmeasure,0.5714285714285715,REDOMA,exp2
source-segment-conference-ekaw,target-segment-conference-ekaw,fmeasure,0.5,REDOMA,exp2
source-segment-cmt-edas,target-segment-cmt-edas,fmeasure,0.7692307692307693,REDOMA,exp2
source-segment-confOf-edas,target-segment-confOf-edas,fmeasure,0.5,REDOMA,exp2
source-segment-conference-sigkdd,target-segment-conference-sigkdd,fmeasure,0.8,REDOMA,exp2
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,fmeasure,0.4,REDOMA,exp2
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,fmeasure,0.7272727272727273,REDOMA,exp2
source-segment-edas-sigkdd,target-segment-edas-sigkdd,fmeasure,0.6666666666666666,REDOMA,exp2
source-segment-conference-confOf,target-segment-conference-confOf,fmeasure,0.8571428571428571,REDOMA,exp2
source-segment-ekaw-iasted,target-segment-ekaw-iasted,fmeasure,0.6666666666666666,REDOMA,exp2
source-segment-confOf-edas,target-segment-confOf-edas,fmeasure,0.5,YAM,exp2
source-segment-conference-confOf,target-segment-conference-confOf,fmeasure,0.8571428571428571,YAM,exp2
source-segment-conference-edas,target-segment-conference-edas,fmeasure,0.6666666666666666,YAM,exp2
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,fmeasure,0.7272727272727273,YAM,exp2
source-segment-cmt-edas,target-segment-cmt-edas,fmeasure,0.7692307692307693,YAM,exp2
source-segment-edas-sigkdd,target-segment-edas-sigkdd,fmeasure,0.6666666666666666,YAM,exp2
source-segment-confOf-ekaw,target-segment-confOf-ekaw,fmeasure,0,YAM,exp2
source-segment-edas-ekaw,target-segment-edas-ekaw,fmeasure,0.4615384615384615,YAM,exp2
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,fmeasure,0,YAM,exp2
source-segment-cmt-iasted,target-segment-cmt-iasted,fmeasure,0.75,YAM,exp2
source-segment-cmt-confOf,target-segment-cmt-confOf,fmeasure,0.28571428571428575,YAM,exp2
source-segment-conference-sigkdd,target-segment-conference-sigkdd,fmeasure,0.6,YAM,exp2
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,fmeasure,0.4,YAM,exp2
source-segment-conference-ekaw,target-segment-conference-ekaw,fmeasure,0.3333333333333333,YAM,exp2
source-segment-cmt-ekaw,target-segment-cmt-ekaw,fmeasure,0.6,YAM,exp2
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,fmeasure,0.7272727272727273,YAM,exp2
source-segment-ekaw-iasted,target-segment-ekaw-iasted,fmeasure,0.6666666666666666,YAM,exp2
source-segment-conference-iasted,target-segment-conference-iasted,fmeasure,0.5714285714285715,YAM,exp2
source-segment-cmt-conference,target-segment-cmt-conference,fmeasure,0.30769230769230765,YAM,exp2
source-segment-edas-iasted,target-segment-edas-iasted,fmeasure,0.5,YAM,exp2
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,fmeasure,0.7272727272727273,AML,exp2
source-segment-edas-ekaw,target-segment-edas-ekaw,fmeasure,0.4615384615384615,AML,exp2
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,fmeasure,0.7272727272727273,AML,exp2
source-segment-cmt-conference,target-segment-cmt-conference,fmeasure,0.28571428571428575,AML,exp2
