ontology1,ontology2,metric,value,matcher,experiment
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,precision,0,COMA-RES2_SIBLINGS-SIM_STR_TRIGRAM_LOWMEM,exp2
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,precision,1,AML-WC-22,exp2
source-segment-cmt-confOf,target-segment-cmt-confOf,precision,1,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_LOWMEM,exp2
source-segment-cmt-ekaw,target-segment-cmt-ekaw,precision,1,AML-SC-68,exp2
source-segment-cmt-iasted,target-segment-cmt-iasted,precision,1,COMA-RES2_PARENTS-SIM_STR_EQUAL,exp2
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,precision,1,AML-WC-4,exp2
source-segment-edas-iasted,target-segment-edas-iasted,precision,0.6666666666666666,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_OPT,exp2
source-segment-conference-sigkdd,target-segment-conference-sigkdd,precision,1,COMA-RES2_SELFNODE-SIM_STR_JAROWINKLER,exp2
source-segment-ekaw-iasted,target-segment-ekaw-iasted,precision,1,AML-SC-21,exp2
source-segment-cmt-edas,target-segment-cmt-edas,precision,1,AML-SC-70,exp2
source-segment-confOf-ekaw,target-segment-confOf-ekaw,precision,0,AML-WC-16,exp2
source-segment-conference-confOf,target-segment-conference-confOf,precision,1,AML-WC-24,exp2
source-segment-conference-edas,target-segment-conference-edas,precision,1,AML-WC-16,exp2
source-segment-cmt-conference,target-segment-cmt-conference,precision,1,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,exp2
source-segment-conference-iasted,target-segment-conference-iasted,precision,1,AML-WC-7,exp2
source-segment-conference-ekaw,target-segment-conference-ekaw,precision,1,COMA-RES2_PARENTS-SIM_STR_COSINE_PPJOINPLUS,exp2
source-segment-confOf-edas,target-segment-confOf-edas,precision,1,COMA-RES2_PARENTS-SIM_STR_EQUAL,exp2
source-segment-edas-sigkdd,target-segment-edas-sigkdd,precision,1,COMA-RES2_PARENTS-SIM_STR_EDITDIST,exp2
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,precision,1,COMA-RES2_SELFPATH-SIM_STR_JACCARD,exp2
source-segment-edas-ekaw,target-segment-edas-ekaw,precision,1,AML-SC-35,exp2
confOf,ekaw,precision,0.9375,AML-WC-2,exp1
confOf,iasted,precision,0.6666666666666666,YAM,exp1
iasted,sigkdd,precision,0.9285714285714286,AML-WC-22,exp1
edas,sigkdd,precision,0.6666666666666666,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,exp1
confOf,edas,precision,0.9230769230769231,AML-WC-7,exp1
cmt,ekaw,precision,1,AML-SC-17,exp1
ekaw,sigkdd,precision,1,COMA-RES2_SELFPATH-SIM_STR_JACCARD,exp1
cmt,sigkdd,precision,1,AML-SC-70,exp1
ekaw,iasted,precision,0.875,YAM,exp1
edas,ekaw,precision,0.9375,YAM,exp1
edas,iasted,precision,0.8,YAM,exp1
cmt,edas,precision,1,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,exp1
cmt,confOf,precision,0.875,AML-SC-12,exp1
cmt,iasted,precision,0.8,AML-WC-24,exp1
confOf,sigkdd,precision,1,AML-SC-37,exp1
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,precision,1,COMA-RES2_SELFNODE-SIM_STR_JAROWINKLER,exp3
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,precision,1,AML-SC-39,exp3
source-segment-conference-iasted,target-segment-conference-iasted,precision,1,AML-SC-59,exp3
source-segment-cmt-confOf,target-segment-cmt-confOf,precision,1,COMA-RES2_SIBLINGS-SIM_STR_TRIGRAM_OPT,exp3
source-segment-confOf-ekaw,target-segment-confOf-ekaw,precision,0.6666666666666666,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,exp3
source-segment-ekaw-iasted,target-segment-ekaw-iasted,precision,1,AML-SC-3,exp3
source-segment-edas-sigkdd,target-segment-edas-sigkdd,precision,1,AML-SC-12,exp3
source-segment-cmt-iasted,target-segment-cmt-iasted,precision,1,COMA-RES2_PARENTS-SIM_STR_TRIGRAM_IFUICE,exp3
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,precision,1,AML-SC-32,exp3
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,precision,1,AML-WC-16,exp3
source-segment-edas-iasted,target-segment-edas-iasted,precision,0.6666666666666666,AML-WC-31,exp3
source-segment-conference-confOf,target-segment-conference-confOf,precision,1,AML-SC-18,exp3
source-segment-conference-ekaw,target-segment-conference-ekaw,precision,1,AML-SC-2,exp3
source-segment-cmt-conference,target-segment-cmt-conference,precision,1,COMA-RES2_PARENTS-SIM_STR_TRIGRAM_COMA,exp3
source-segment-conference-edas,target-segment-conference-edas,precision,1,AML-SC-32,exp3
source-segment-edas-ekaw,target-segment-edas-ekaw,precision,1,COMA-RES2_SELFPATH-SIM_STR_LEVENSHTEIN_LUCENE,exp3
source-segment-confOf-iasted,target-segment-confOf-iasted,precision,1,AML-SC-43,exp3
source-segment-conference-sigkdd,target-segment-conference-sigkdd,precision,1,COMA-RES2_PARENTS-SIM_STR_COSINE_PPJOINPLUS,exp3
source-segment-cmt-edas,target-segment-cmt-edas,precision,1,AML-SC-48,exp3
source-segment-confOf-edas,target-segment-confOf-edas,precision,1,AML-SC-13,exp3
source-segment-cmt-ekaw,target-segment-cmt-ekaw,precision,1,AML-SC-24,exp3
