ontology1,ontology2,metric,value,matcher,experiment
source-segment-cmt-ekaw,target-segment-cmt-ekaw,recall,0.42857142857142855,AML-SC-69,exp2
source-segment-cmt-confOf,target-segment-cmt-confOf,recall,0.2727272727272727,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_LOWMEM,exp2
source-segment-ekaw-iasted,target-segment-ekaw-iasted,recall,0.5,AML-SC-26,exp2
source-segment-edas-sigkdd,target-segment-edas-sigkdd,recall,0.5,AML-SC-42,exp2
source-segment-confOf-ekaw,target-segment-confOf-ekaw,recall,0,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_OPT,exp2
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,recall,0.5714285714285714,AML-SC-37,exp2
source-segment-conference-sigkdd,target-segment-conference-sigkdd,recall,0.6666666666666666,COMA-RES2_SELFNODE-SIM_STR_LEVENSHTEIN_LUCENE,exp2
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,recall,0.5714285714285714,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_COMA,exp2
source-segment-edas-iasted,target-segment-edas-iasted,recall,0.4,AML-SC-38,exp2
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,recall,0.25,COMA-RES2_CHILDREN-SIM_STR_TRIGRAM_LOWMEM,exp2
source-segment-conference-confOf,target-segment-conference-confOf,recall,0.75,AML-WC-6,exp2
source-segment-conference-ekaw,target-segment-conference-ekaw,recall,0.375,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_LOWMEM,exp2
source-segment-edas-ekaw,target-segment-edas-ekaw,recall,0.3,AML-SC-51,exp2
source-segment-cmt-iasted,target-segment-cmt-iasted,recall,0.75,AML-SC-20,exp2
source-segment-cmt-edas,target-segment-cmt-edas,recall,0.625,AML-SC-66,exp2
source-segment-conference-edas,target-segment-conference-edas,recall,0.625,COMA-RES2_SELFNODE-SIM_STR_LEVENSHTEIN_LUCENE,exp2
source-segment-confOf-edas,target-segment-confOf-edas,recall,0.3333333333333333,AML-SC-10,exp2
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,recall,0,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_IFUICE,exp2
source-segment-conference-iasted,target-segment-conference-iasted,recall,0.4,AML-WC-19,exp2
source-segment-cmt-conference,target-segment-cmt-conference,recall,0.2,AML-WC-24,exp2
ekaw,iasted,recall,0.7,AML-SC-56,exp1
edas,sigkdd,recall,0.8,AML-SC-27,exp1
confOf,iasted,recall,0.5555555555555556,AML-SC-12,exp1
edas,ekaw,recall,0.6521739130434783,YAM,exp1
cmt,edas,recall,1,YAM,exp1
edas,iasted,recall,0.47368421052631576,AML-WC-14,exp1
cmt,ekaw,recall,0.6363636363636364,AML-SC-1,exp1
iasted,sigkdd,recall,0.9333333333333333,LogMap,exp1
confOf,sigkdd,recall,0.8571428571428571,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA,exp1
cmt,confOf,recall,0.4375,AML-SC-59,exp1
cmt,sigkdd,recall,0.9166666666666666,AML-SC-11,exp1
ekaw,sigkdd,recall,0.8181818181818182,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA,exp1
confOf,ekaw,recall,0.8,AML-SC-46,exp1
cmt,iasted,recall,1,AML-SC-23,exp1
confOf,edas,recall,0.631578947368421,AML-WC-7,exp1
source-segment-cmt-edas,target-segment-cmt-edas,recall,0.625,LogMap,exp3
source-segment-confOf-edas,target-segment-confOf-edas,recall,0.5,LogMap,exp3
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,recall,1,LogMap,exp3
source-segment-conference-ekaw,target-segment-conference-ekaw,recall,0.2,AML-WC-21,exp3
source-segment-cmt-ekaw,target-segment-cmt-ekaw,recall,0.5555555555555556,LogMap,exp3
source-segment-confOf-iasted,target-segment-confOf-iasted,recall,0.6666666666666666,AML-SC-51,exp3
source-segment-ekaw-iasted,target-segment-ekaw-iasted,recall,0.75,LogMap,exp3
source-segment-conference-confOf,target-segment-conference-confOf,recall,0.25,LogMap,exp3
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,recall,1,LogMap,exp3
source-segment-edas-ekaw,target-segment-edas-ekaw,recall,0.8333333333333334,LogMap,exp3
source-segment-cmt-confOf,target-segment-cmt-confOf,recall,0.625,LogMap,exp3
source-segment-confOf-ekaw,target-segment-confOf-ekaw,recall,0.8333333333333334,LogMap,exp3
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,recall,1,LogMap,exp3
source-segment-cmt-iasted,target-segment-cmt-iasted,recall,1,LogMap,exp3
source-segment-cmt-conference,target-segment-cmt-conference,recall,0.2,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,exp3
source-segment-conference-edas,target-segment-conference-edas,recall,0.3333333333333333,LogMap,exp3
source-segment-conference-sigkdd,target-segment-conference-sigkdd,recall,0.2,COMA-RES2_SELFNODE-SIM_STR_EQUAL,exp3
source-segment-edas-iasted,target-segment-edas-iasted,recall,1,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA,exp3
source-segment-edas-sigkdd,target-segment-edas-sigkdd,recall,0.75,LogMap,exp3
source-segment-conference-iasted,target-segment-conference-iasted,recall,0.6666666666666666,AML-SC-39,exp3
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,recall,0.8,LogMap,exp3
