ontology1,ontology2,metric,value,matcher,experiment
source-segment-ekaw-iasted,target-segment-ekaw-iasted,precision,1,AML,exp2
source-segment-edas-sigkdd,target-segment-edas-sigkdd,precision,1,AML,exp2
source-segment-confOf-ekaw,target-segment-confOf-ekaw,precision,0,AML,exp2
source-segment-edas-iasted,target-segment-edas-iasted,precision,0.6666666666666666,AML,exp2
source-segment-cmt-iasted,target-segment-cmt-iasted,precision,0.75,AML,exp2
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,precision,0,AML,exp2
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,precision,1,AML,exp2
source-segment-cmt-conference,target-segment-cmt-conference,precision,0.5,AML,exp2
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,precision,0.5,AML,exp2
source-segment-conference-sigkdd,target-segment-conference-sigkdd,precision,0.75,AML,exp2
source-segment-cmt-confOf,target-segment-cmt-confOf,precision,0.5,AML,exp2
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,precision,1,AML,exp2
source-segment-conference-iasted,target-segment-conference-iasted,precision,1,AML,exp2
source-segment-conference-edas,target-segment-conference-edas,precision,1,AML,exp2
source-segment-edas-ekaw,target-segment-edas-ekaw,precision,1,AML,exp2
source-segment-conference-ekaw,target-segment-conference-ekaw,precision,0.5,AML,exp2
source-segment-confOf-edas,target-segment-confOf-edas,precision,0.6666666666666666,AML,exp2
source-segment-cmt-ekaw,target-segment-cmt-ekaw,precision,1,AML,exp2
source-segment-cmt-edas,target-segment-cmt-edas,precision,1,AML,exp2
source-segment-conference-confOf,target-segment-conference-confOf,precision,1,AML,exp2
source-segment-conference-sigkdd,target-segment-conference-sigkdd,precision,0.75,YAM,exp2
source-segment-edas-ekaw,target-segment-edas-ekaw,precision,1,YAM,exp2
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,precision,1,YAM,exp2
source-segment-cmt-edas,target-segment-cmt-edas,precision,1,YAM,exp2
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,precision,1,YAM,exp2
source-segment-conference-ekaw,target-segment-conference-ekaw,precision,0.5,YAM,exp2
source-segment-confOf-ekaw,target-segment-confOf-ekaw,precision,0,YAM,exp2
source-segment-confOf-edas,target-segment-confOf-edas,precision,1,YAM,exp2
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,precision,1,YAM,exp2
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,precision,0,YAM,exp2
source-segment-edas-iasted,target-segment-edas-iasted,precision,0.6666666666666666,YAM,exp2
source-segment-cmt-confOf,target-segment-cmt-confOf,precision,0.6666666666666666,YAM,exp2
source-segment-cmt-ekaw,target-segment-cmt-ekaw,precision,1,YAM,exp2
source-segment-edas-sigkdd,target-segment-edas-sigkdd,precision,1,YAM,exp2
source-segment-conference-iasted,target-segment-conference-iasted,precision,1,YAM,exp2
source-segment-cmt-conference,target-segment-cmt-conference,precision,0.6666666666666666,YAM,exp2
source-segment-cmt-iasted,target-segment-cmt-iasted,precision,0.75,YAM,exp2
source-segment-conference-confOf,target-segment-conference-confOf,precision,1,YAM,exp2
source-segment-ekaw-iasted,target-segment-ekaw-iasted,precision,1,YAM,exp2
source-segment-conference-edas,target-segment-conference-edas,precision,1,YAM,exp2
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,precision,0.5,COMA,exp2
source-segment-cmt-confOf,target-segment-cmt-confOf,precision,0.5,COMA,exp2
source-segment-cmt-ekaw,target-segment-cmt-ekaw,precision,1,COMA,exp2
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,precision,0,COMA,exp2
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,precision,1,COMA,exp2
source-segment-cmt-conference,target-segment-cmt-conference,precision,0.6666666666666666,COMA,exp2
source-segment-conference-iasted,target-segment-conference-iasted,precision,0.6666666666666666,COMA,exp2
source-segment-conference-ekaw,target-segment-conference-ekaw,precision,0.75,COMA,exp2
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,precision,1,COMA,exp2
source-segment-edas-iasted,target-segment-edas-iasted,precision,0.5,COMA,exp2
source-segment-edas-ekaw,target-segment-edas-ekaw,precision,1,COMA,exp2
source-segment-ekaw-iasted,target-segment-ekaw-iasted,precision,0.6666666666666666,COMA,exp2
source-segment-cmt-edas,target-segment-cmt-edas,precision,1,COMA,exp2
source-segment-confOf-ekaw,target-segment-confOf-ekaw,precision,0,COMA,exp2
source-segment-cmt-iasted,target-segment-cmt-iasted,precision,0.6,COMA,exp2
source-segment-confOf-edas,target-segment-confOf-edas,precision,0.6666666666666666,COMA,exp2
source-segment-conference-confOf,target-segment-conference-confOf,precision,0.75,COMA,exp2
source-segment-edas-sigkdd,target-segment-edas-sigkdd,precision,1,COMA,exp2
source-segment-conference-edas,target-segment-conference-edas,precision,1,COMA,exp2
source-segment-conference-sigkdd,target-segment-conference-sigkdd,precision,1,COMA,exp2
source-segment-edas-ekaw,target-segment-edas-ekaw,precision,0.17647058823529413,LogMap,exp2
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,precision,0.10256410256410256,LogMap,exp2
source-segment-confOf-ekaw,target-segment-confOf-ekaw,precision,0,LogMap,exp2
source-segment-cmt-iasted,target-segment-cmt-iasted,precision,0.08571428571428572,LogMap,exp2
source-segment-conference-ekaw,target-segment-conference-ekaw,precision,0.04081632653061224,LogMap,exp2
source-segment-ekaw-iasted,target-segment-ekaw-iasted,precision,0.11764705882352941,LogMap,exp2
source-segment-conference-sigkdd,target-segment-conference-sigkdd,precision,0.05555555555555555,LogMap,exp2
source-segment-conference-edas,target-segment-conference-edas,precision,0.08695652173913043,LogMap,exp2
source-segment-cmt-conference,target-segment-cmt-conference,precision,0.1,LogMap,exp2
source-segment-edas-iasted,target-segment-edas-iasted,precision,0.11764705882352941,LogMap,exp2
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,precision,0.017241379310344827,LogMap,exp2
source-segment-cmt-ekaw,target-segment-cmt-ekaw,precision,0.0967741935483871,LogMap,exp2
source-segment-confOf-edas,target-segment-confOf-edas,precision,0.03571428571428571,LogMap,exp2
source-segment-cmt-confOf,target-segment-cmt-confOf,precision,0.08695652173913043,LogMap,exp2
source-segment-edas-sigkdd,target-segment-edas-sigkdd,precision,0.17647058823529413,LogMap,exp2
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,precision,0,LogMap,exp2
source-segment-conference-confOf,target-segment-conference-confOf,precision,0.07142857142857142,LogMap,exp2
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,precision,0.23529411764705882,LogMap,exp2
source-segment-cmt-edas,target-segment-cmt-edas,precision,0.17857142857142858,LogMap,exp2
source-segment-conference-iasted,target-segment-conference-iasted,precision,0.0392156862745098,LogMap,exp2
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,precision,0,REDOMA,exp2
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,precision,1,REDOMA,exp2
source-segment-cmt-ekaw,target-segment-cmt-ekaw,precision,1,REDOMA,exp2
source-segment-cmt-iasted,target-segment-cmt-iasted,precision,1,REDOMA,exp2
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,precision,1,REDOMA,exp2
source-segment-edas-iasted,target-segment-edas-iasted,precision,0.6666666666666666,REDOMA,exp2
source-segment-conference-sigkdd,target-segment-conference-sigkdd,precision,1,REDOMA,exp2
source-segment-ekaw-iasted,target-segment-ekaw-iasted,precision,1,REDOMA,exp2
source-segment-cmt-edas,target-segment-cmt-edas,precision,1,REDOMA,exp2
source-segment-confOf-ekaw,target-segment-confOf-ekaw,precision,0,REDOMA,exp2
source-segment-conference-confOf,target-segment-conference-confOf,precision,1,REDOMA,exp2
source-segment-conference-edas,target-segment-conference-edas,precision,1,REDOMA,exp2
source-segment-cmt-conference,target-segment-cmt-conference,precision,1,REDOMA,exp2
source-segment-conference-iasted,target-segment-conference-iasted,precision,1,REDOMA,exp2
source-segment-conference-ekaw,target-segment-conference-ekaw,precision,1,REDOMA,exp2
source-segment-confOf-edas,target-segment-confOf-edas,precision,1,REDOMA,exp2
source-segment-edas-sigkdd,target-segment-edas-sigkdd,precision,1,REDOMA,exp2
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,precision,1,REDOMA,exp2
source-segment-edas-ekaw,target-segment-edas-ekaw,precision,1,REDOMA,exp2
cmt,iasted,precision,0.5714285714285714,AML,exp1
cmt,sigkdd,precision,1,AML,exp1
confOf,sigkdd,precision,1,AML,exp1
confOf,ekaw,precision,0.8823529411764706,AML,exp1
ekaw,sigkdd,precision,0.875,AML,exp1
ekaw,iasted,precision,0.5833333333333334,AML,exp1
edas,iasted,precision,0.5,AML,exp1
confOf,iasted,precision,0.45454545454545453,AML,exp1
cmt,ekaw,precision,1,AML,exp1
confOf,edas,precision,0.8461538461538461,AML,exp1
cmt,edas,precision,0.9090909090909091,AML,exp1
cmt,confOf,precision,0.875,AML,exp1
edas,sigkdd,precision,0.5,AML,exp1
edas,ekaw,precision,0.8,AML,exp1
iasted,sigkdd,precision,0.7222222222222222,AML,exp1
cmt,sigkdd,precision,0.9166666666666666,YAM,exp1
confOf,iasted,precision,0.6666666666666666,YAM,exp1
ekaw,sigkdd,precision,0.9,YAM,exp1
cmt,confOf,precision,0.875,YAM,exp1
ekaw,iasted,precision,0.875,YAM,exp1
cmt,edas,precision,0.8125,YAM,exp1
confOf,ekaw,precision,0.8823529411764706,YAM,exp1
confOf,edas,precision,0.8,YAM,exp1
edas,sigkdd,precision,0.5,YAM,exp1
edas,iasted,precision,0.8,YAM,exp1
cmt,ekaw,precision,0.75,YAM,exp1
cmt,iasted,precision,0.8,YAM,exp1
iasted,sigkdd,precision,0.8235294117647058,YAM,exp1
confOf,sigkdd,precision,0.8571428571428571,YAM,exp1
edas,ekaw,precision,0.9375,YAM,exp1
edas,sigkdd,precision,0.10256410256410256,COMA,exp1
edas,ekaw,precision,0.27450980392156865,COMA,exp1
ekaw,sigkdd,precision,0.175,COMA,exp1
cmt,confOf,precision,0.16129032258064516,COMA,exp1
cmt,sigkdd,precision,0.35714285714285715,COMA,exp1
confOf,sigkdd,precision,0.13157894736842105,COMA,exp1
cmt,ekaw,precision,0.12195121951219512,COMA,exp1
cmt,edas,precision,0.20512820512820512,COMA,exp1
confOf,edas,precision,0.2391304347826087,COMA,exp1
confOf,ekaw,precision,0.25,COMA,exp1
edas,iasted,precision,0,COMA,exp1
iasted,sigkdd,precision,0,COMA,exp1
confOf,iasted,precision,0,COMA,exp1
ekaw,sigkdd,precision,0,COMA,exp1
cmt,iasted,precision,0,COMA,exp1
confOf,iasted,precision,0.05194805194805195,LogMap,exp1
edas,sigkdd,precision,0.041666666666666664,LogMap,exp1
ekaw,iasted,precision,0.04294478527607362,LogMap,exp1
edas,iasted,precision,0.06862745098039216,LogMap,exp1
edas,ekaw,precision,0.10434782608695652,LogMap,exp1
confOf,sigkdd,precision,0.0684931506849315,LogMap,exp1
confOf,ekaw,precision,0.15384615384615385,LogMap,exp1
confOf,edas,precision,0.14492753623188406,LogMap,exp1
iasted,sigkdd,precision,0.09271523178807947,LogMap,exp1
ekaw,sigkdd,precision,0.04516129032258064,LogMap,exp1
cmt,edas,precision,0.06557377049180328,LogMap,exp1
cmt,sigkdd,precision,0.08527131782945736,LogMap,exp1
cmt,confOf,precision,0.0423728813559322,LogMap,exp1
cmt,iasted,precision,0.03076923076923077,LogMap,exp1
cmt,ekaw,precision,0.044444444444444446,LogMap,exp1
confOf,ekaw,precision,0.9375,REDOMA,exp1
confOf,iasted,precision,0.6666666666666666,REDOMA,exp1
iasted,sigkdd,precision,0.9285714285714286,REDOMA,exp1
edas,sigkdd,precision,0.6666666666666666,REDOMA,exp1
confOf,edas,precision,0.9230769230769231,REDOMA,exp1
