lexicalMetricsAfinity,syntacticMetricsAfinity,structuralMetricsAfinity,matcher,fmeasure
HIGH,MEDIUM,HIGH,COMA,0.4666666666666667
HIGH,MEDIUM,HIGH,COMA,0.3225806451612903
LOW,MEDIUM,HIGH,COMA,0.5833333333333334
LOW,MEDIUM,LOW,COMA,0.375
LOW,MEDIUM,LOW,COMA,0.3478260869565218
HIGH,MEDIUM,HIGH,COMA,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA,0.4444444444444444
LOW,MEDIUM,HIGH,COMA,0.6666666666666666
HIGH,MEDIUM,HIGH,COMA,0.4761904761904762
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_JACCARD,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA,0.3333333333333333
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_IFUICE,0.3076923076923077
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_LOWMEM,0.3076923076923077
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_OPT,0.3076923076923077
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_EQUAL,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_JACCARD,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA,0.3333333333333333
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_IFUICE,0.3076923076923077
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_LOWMEM,0.3076923076923077
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_OPT,0.3076923076923077
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_EQUAL,0.5
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.33333333333333326
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,0.33333333333333326
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_JACCARD,0.33333333333333326
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.33333333333333326
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,0.33333333333333326
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EQUAL,0.33333333333333326
HIGH,MEDIUM,HIGH,COMA,0.4666666666666667
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_IFUICE,0.3478260869565218
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_OPT,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.875
