lexicalMetricsAfinity,syntacticMetricsAfinity,structuralMetricsAfinity,matcher,precision
HIGH,MEDIUM,HIGH,COMA,0.3181818181818182
LOW,MEDIUM,HIGH,COMA,0.4117647058823529
HIGH,MEDIUM,HIGH,COMA,0.3333333333333333
LOW,MEDIUM,HIGH,COMA,0.5
HIGH,MEDIUM,HIGH,COMA,0.35714285714285715
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.6666666666666666
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,0.6666666666666666
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_JACCARD,0.6666666666666666
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.6666666666666666
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,0.6666666666666666
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_EQUAL,0.6666666666666666
LOW,MEDIUM,LOW,COMA-RES2_SIBLINGS-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.5
LOW,MEDIUM,LOW,COMA-RES2_SIBLINGS-SIM_STR_COSINE_PPJOINPLUS,0.5
LOW,MEDIUM,LOW,COMA-RES2_SIBLINGS-SIM_STR_EQUAL,0.5
LOW,MEDIUM,LOW,COMA-RES2_SIBLINGS-SIM_STR_JACCARD,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.6666666666666666
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,0.6666666666666666
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_JACCARD,0.6666666666666666
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.6666666666666666
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,0.6666666666666666
