lexicalMetricsAfinity,syntacticMetricsAfinity,structuralMetricsAfinity,matcher,recall
LOW,MEDIUM,LOW,COMA,0.4
LOW,MEDIUM,LOW,LogMap,0.4
HIGH,MEDIUM,HIGH,COMA,0.875
HIGH,MEDIUM,HIGH,LogMap,0.875
HIGH,MEDIUM,HIGH,COMA,0.7142857142857143
HIGH,MEDIUM,HIGH,LogMap,0.7142857142857143
MEDIUM,MEDIUM,HIGH,COMA,1.0
MEDIUM,MEDIUM,HIGH,LogMap,1.0
LOW,MEDIUM,HIGH,COMA,1.0
LOW,MEDIUM,HIGH,LogMap,1.0
LOW,MEDIUM,LOW,COMA,0.75
LOW,MEDIUM,LOW,LogMap,0.75
LOW,MEDIUM,LOW,COMA,0.5
LOW,MEDIUM,LOW,LogMap,0.625
LOW,MEDIUM,LOW,LogMap,0.375
HIGH,MEDIUM,HIGH,COMA,0.4
HIGH,MEDIUM,HIGH,LogMap,0.4
HIGH,MEDIUM,HIGH,COMA,0.6666666666666666
HIGH,MEDIUM,HIGH,LogMap,0.6666666666666666
HIGH,MEDIUM,HIGH,COMA,0.3333333333333333
HIGH,MEDIUM,HIGH,LogMap,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA,0.4
HIGH,MEDIUM,HIGH,LogMap,0.6
MEDIUM,MEDIUM,HIGH,COMA,0.8
MEDIUM,MEDIUM,HIGH,LogMap,0.8
LOW,MEDIUM,HIGH,COMA,1.0
LOW,MEDIUM,HIGH,LogMap,1.0
LOW,MEDIUM,HIGH,COMA,0.75
LOW,MEDIUM,HIGH,LogMap,1.0
HIGH,MEDIUM,HIGH,COMA,0.7142857142857143
HIGH,MEDIUM,HIGH,LogMap,0.8571428571428571
HIGH,MEDIUM,HIGH,COMA,0.3333333333333333
HIGH,MEDIUM,HIGH,LogMap,1.0
LOW,MEDIUM,LOW,COMA,0.4
LOW,MEDIUM,LOW,LogMap,0.4
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.4
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,0.4
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_JACCARD,0.4
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_IFUICE,0.4
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_LOWMEM,0.4
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_OPT,0.4
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.4
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,0.4
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_LEVENSHTEIN_LUCENE,0.4
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_JAROWINKLER,0.4
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_EDITDIST,0.4
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_EQUAL,0.4
LOW,MEDIUM,LOW,COMA,0.4
